소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
금련산청소년수련원,금련산청소년수련원,Y,N,전력,7.535,7.433,7.039,6.577,5.679,5.642,6.533,7.515,7.493,6.68,6.388,7.714
금련산청소년수련원,금련산청소년수련원 경유차량,Y,N,가스/디젤 오일(경유),0.292,0.478,0.663,0.478,0.69,0.531,0.478,0.462,0.393,0.568,0.467,0.717
푸른도시가꾸기사업소,푸른도시가꾸기사업소 청사,Y,N,실내 등유,0,0,0,0,0,0,0,0,0,0,0,3.115
푸른도시가꾸기사업소,푸른도시가꾸기사업소 청사,Y,N,전력,3.038,2.484,2.208,1.597,1.564,1.714,2.83,1.946,1.282,1.524,2.685,3.197
푸른도시가꾸기사업소,푸른도시가꾸기사업소 경유차량,Y,N,가스/디젤 오일(경유),3.628,4.023,6.897,7.768,6.356,7.863,7.08,6.478,5.968,5.209,7.372,5.039
건설안전시험사업소,건설안전시험사업소 청사,Y,N,전력,61.342,58.456,39.685,43.828,39.412,29.456,35.095,33.408,40.72,32.598,35.054,47.144
건설안전시험사업소,건설안전시험사업소 차량,Y,N,가스/디젤 오일(경유),9.779,9.286,12.056,15.034,11.435,15.01,13.98,30.537,25.704,28.573,33.636,34.369
남항관리사업소,남항관리사업소 청사,Y,N,전력,2.915,2.708,2.283,2.248,1.934,1.762,1.725,1.769,2.071,2.064,2.45,2.45
남항관리사업소,남항관리사업소 경유차량,Y,N,가스/디젤 오일(경유),0.196,0.364,0.419,0.361,0.196,0.571,0.515,0.356,0.313,0.196,0.419,0.552
남항관리사업소,남항관리사업소 휘발유 차량,Y,N,휘발유,0.044,0,0,0,0.044,0,0.044,0,0.044,0,0.121,0.044
해양자연사박물관,해양자연사박물관 청사,Y,N,도시가스(LNG),0.814,0.932,0.838,0.982,0.812,0.728,0.687,0.422,0,0,0.442,0.877
해양자연사박물관,해양자연사박물관 청사,Y,N,전력,35.845,34.412,26.376,23.562,20.266,18.023,21.492,27.506,24.244,21.335,18.744,22.116
해양자연사박물관,해양자연사박물관 분관 어촌민속관,Y,N,도시가스(LNG),3.922,3.599,3.461,1.807,0.593,0.179,0.241,0.586,0.68,0.092,0.072,1.352
해양자연사박물관,해양자연사박물관 분관 어촌민속관,Y,N,전력,2.38,2.709,1.828,1.379,0.964,1.651,2.861,6.032,3.118,1.725,1.396,1.672
해양자연사박물관,해양자연사박물관 휘발유차량,Y,N,휘발유,0.055,0,0,0.048,0,0,0.07,0,0,0,0.088,0
해양자연사박물관,해양자연사박물관 경유차량,Y,N,가스/디젤 오일(경유),0.088,0,0.111,0.146,0,0.345,0.244,0,0.17,0,0.08,0
화명수목원관리사업소,청사,Y,N,실내 등유,14.86,9.816,6.75,2.225,0,0,0,0,0,0.495,7.427,11.918
화명수목원관리사업소,청사,Y,N,전력,11.156,10.315,7.093,7.534,5.506,4.61,5.379,5.771,5.06,5.591,7.551,9.24
화명수목원관리사업소,화명수목원 경유차량(소유),Y,N,가스/디젤 오일(경유),0.318,0.318,0.318,0.212,0.398,0.212,0.531,0.318,0.212,0.318,0.425,0.318
화명수목원관리사업소,화명수목원 경유차량(임차),Y,Y,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
교통정보서비스센터,교통정보서비스센터 관리소,Y,N,전력,34.257,33.922,30.513,34.29,33.664,40.558,41.168,44.357,42.785,38.013,34.998,29.972
교통정보서비스센터,교통정보서비스센터 경유차량,Y,N,가스/디젤 오일(경유),0.133,0,0.101,0,0,0.119,0.114,0,0.114,0,0,0
중부소방서,"중부소방서 본서, 중앙119안전센터, 구조대",Y,N,도시가스(LNG),7.013,6.637,5.969,4.086,2.325,2.71,5.746,8.346,8.257,7.382,4.355,2.844
중부소방서,"중부소방서 본서, 중앙119안전센터, 구조대",Y,N,전력,19.001,19.314,15.639,14.947,1.845,11.279,11.156,14.208,14.451,12.238,12.356,13.421
중부소방서,중부소방서 부민119안전센터,Y,N,도시가스(LNG),1.535,1.459,1.126,1.01,0.639,0.413,0.22,0.153,0.192,0.21,0.357,0.748
중부소방서,중부소방서 부민119안전센터,Y,N,전력,4.178,3.977,3.169,2.805,2.5,2.725,3.256,4.007,3.651,3.045,2.649,2.674
중부소방서,중부소방서 충무119안전센터,Y,N,도시가스(LNG),0,0,0,0,0,0,0,0,0,0,0,0
중부소방서,중부소방서 충무119안전센터,Y,N,전력,6.35,5.791,4.584,4.039,3.433,2.725,3.152,3.758,3.583,3.476,3.425,4.223
중부소방서,중부소방서 창선119안전센터,Y,N,보일러 등유,0,2.473,0,0,0,0,0,0,0,0,0,0
중부소방서,중부소방서 창선119안전센터,Y,N,전력,2.37,2.276,1.672,1.554,1.466,1.748,2.06,2.429,2.294,1.82,1.881,2.451
